filename,accuracy,precision,recall,f1_score
aoe_court,0.21,0.0441,0.21,0.07289256198347108
aoe_defense,0.67,0.8959625668449199,0.67,0.7506396686608376
aoe_none,0.42857142857142855,0.5775048480930833,0.42857142857142855,0.3556554212291918
aoe_procbar,0.8484848484848485,0.961801752464403,0.8484848484848485,0.8948170324236188
case_app,0.8210526315789474,0.9900584795321637,0.8210526315789474,0.8922129886118805
case_crim,0.91,0.9105303030303031,0.91,0.9017026150028632
case_juv,0.56,0.8959999999999999,0.56,0.6892307692307692
case_pros,0.5568181818181818,0.898818228994669,0.5568181818181818,0.6617111241059782
case_app_regex,1.0,1.0,1.0,1.0
aoe_prochist,0.31,0.9533783783783784,0.31,0.414593576733968
